course_name,area,hole,hcp,par
台中國際,東區,1,2,4
台中國際,東區,2,8,4
台中國際,東區,3,5,3
台中國際,東區,4,4,5
台中國際,東區,5,7,4
台中國際,東區,6,1,4
台中國際,東區,7,9,3
台中國際,東區,8,3,5
台中國際,東區,9,6,4
台中國際,西區,1,3,5
台中國際,西區,2,6,4
台中國際,西區,3,9,3
台中國際,西區,4,8,4
台中國際,西區,5,1,4
台中國際,西區,6,4,3
台中國際,西區,7,7,4
台中國際,西區,8,2,5
台中國際,西區,9,5,4
台中國際,中區,1,7,4
台中國際,中區,2,2,4
台中國際,中區,3,8,3
台中國際,中區,4,5,5
台中國際,中區,5,4,4
台中國際,中區,6,1,4
台中國際,中區,7,9,3
台中國際,中區,8,3,4
台中國際,中區,9,6,5
全國花園,1-9,1,17,4
全國花園,1-9,2,11,4
全國花園,1-9,3,9,5
全國花園,1-9,4,5,4
全國花園,1-9,5,13,3
全國花園,1-9,6,1,4
全國花園,1-9,7,3,5
全國花園,1-9,8,15,3
全國花園,1-9,9,7,4
全國花園,10-18,10,18,4
全國花園,10-18,11,16,3
全國花園,10-18,12,12,4
全國花園,10-18,13,10,5
全國花園,10-18,14,14,3
全國花園,10-18,15,2,4
全國花園,10-18,16,4,5
全國花園,10-18,17,6,4
全國花園,10-18,18,8,4
彰化球場,1-9,1,3,5
彰化球場,1-9,2,17,3
彰化球場,1-9,3,1,4
彰化球場,1-9,4,11,4
彰化球場,1-9,5,7,4
彰化球場,1-9,6,13,5
彰化球場,1-9,7,9,4
彰化球場,1-9,8,5,4
彰化球場,1-9,9,15,3
彰化球場,10-18,10,4,5
彰化球場,10-18,11,16,3
彰化球場,10-18,12,2,4
彰化球場,10-18,13,18,4
彰化球場,10-18,14,6,4
彰化球場,10-18,15,8,4
彰化球場,10-18,16,14,3
彰化球場,10-18,17,10,5
彰化球場,10-18,18,12,5
豐原球場,1-9,1,5,4
豐原球場,1-9,2,3,5
豐原球場,1-9,3,7,5
豐原球場,1-9,4,15,3
豐原球場,1-9,5,1,4
豐原球場,1-9,6,9,4
豐原球場,1-9,7,17,3
豐原球場,1-9,8,11,4
豐原球場,1-9,9,13,3
豐原球場,10-18,10,4,5
豐原球場,10-18,11,18,3
豐原球場,10-18,12,2,4
豐原球場,10-18,13,16,3
豐原球場,10-18,14,10,4
豐原球場,10-18,15,14,3
豐原球場,10-18,16,12,5
豐原球場,10-18,17,6,4
豐原球場,10-18,18,8,5
